Sample	Target	Amp_Status	Amp_Score	Ct	Number	Number_status	FLAG	Group
Control22	Gene2	No Amp	0.573	Undetermined	22	487	Undetermined	Control
Control23	Gene2	No Amp	1.225	35.672	22	487	Undetermined	Control
Control24	Gene2	No Amp	0.982	37.901	22	487	Undetermined	Control
Control25	Gene2	No Amp	0.729	39.471	22	487	Undetermined	Control
Control26	Gene2	No Amp	0.963	38.011	22	487	Undetermined	Control
Control01	Gene3	Amp	1.388	29.179	22	2262	OK	Control
Control02	Gene3	Amp	1.361	31.408	22	2262	OK	Control
Control03	Gene3	Amp	1.364	28.203	22	2262	OK	Control
Control04	Gene3	Amp	1.408	29.143	22	2262	OK	Control
Control05	Gene3	Amp	1.359	33.657	22	2262	OK	Control
Control06	Gene3	Amp	1.371	30.039	22	2262	OK	Control
Control07	Gene3	Amp	1.393	30.028	22	2262	OK	Control
Control08	Gene3	Amp	1.293	34.853	22	2262	OK	Control
Control09	Gene3	Amp	1.394	31.095	22	2262	OK	Control
Control11	Gene3	Amp	1.369	32.662	22	2262	OK	Control
Control12	Gene3	Amp	1.370	30.194	22	2262	OK	Control
Control13	Gene3	Amp	1.361	32.600	22	2262	OK	Control
Control14	Gene3	Amp	1.379	30.601	22	2262	OK	Control
Control15	Gene3	Amp	1.386	30.821	22	2262	OK	Control
Control16	Gene3	Amp	1.387	33.432	22	2262	OK	Control
Control17	Gene3	Amp	1.392	30.462	22	2262	OK	Control
Control19	Gene3	Amp	1.388	32.756	22	2262	OK	Control
Control20	Gene3	No Amp	0.000	38.850	22	487	Undetermined	Control
Control21	Gene3	Amp	1.316	34.873	22	2262	OK	Control
Control22	Gene3	Amp	1.313	34.886	22	2262	OK	Control
Control23	Gene3	Amp	1.425	31.745	22	2262	OK	Control
Control24	Gene3	No Amp	1.032	38.000	22	487	Undetermined	Control
Control25	Gene3	Amp	1.305	34.786	22	2262	OK	Control
Control26	Gene3	Amp	1.315	34.256	22	2262	OK	Control
Control01	Gene4	Amp	1.400	21.513	22	2262	OK	Control
Control02	Gene4	Amp	1.415	23.653	22	2262	OK	Control
Control03	Gene4	Amp	1.428	20.499	22	2262	OK	Control
Control04	Gene4	Amp	1.409	22.521	22	2262	OK	Control
Control05	Gene4	Amp	1.429	24.123	22	2262	OK	Control
Control06	Gene4	Amp	1.447	22.941	22	2262	OK	Control
Control07	Gene4	Amp	1.460	21.166	22	2262	OK	Control
Control08	Gene4	Amp	1.437	26.228	22	2262	OK	Control
Control09	Gene4	Amp	1.423	23.147	22	2262	OK	Control
Control11	Gene4	Amp	1.435	22.945	22	2262	OK	Control
Control12	Gene4	Amp	1.436	23.637	22	2262	OK	Control
Control13	Gene4	Amp	1.428	25.186	22	2262	OK	Control
Control14	Gene4	Amp	1.430	22.786	22	2262	OK	Control
Control15	Gene4	Amp	1.453	21.877	22	2262	OK	Control
Control16	Gene4	Amp	1.437	25.435	22	2262	OK	Control
Control17	Gene4	Amp	1.441	22.874	22	2262	OK	Control
Control19	Gene4	Amp	1.438	24.268	22	2262	OK	Control
Control20	Gene4	Amp	1.425	25.523	22	2262	OK	Control
Control21	Gene4	Amp	1.440	23.935	22	2262	OK	Control
Control22	Gene4	Amp	1.435	25.056	22	2262	OK	Control
Control23	Gene4	Amp	1.462	20.966	22	2262	OK	Control
Control24	Gene4	Amp	1.442	24.995	22	2262	OK	Control
Control25	Gene4	Amp	1.435	24.597	22	2262	OK	Control
Control26	Gene4	Amp	1.441	23.801	22	2262	OK	Control
Control01	Gene5	Amp	1.403	32.118	22	2262	OK	Control
Control02	Gene5	Amp	1.255	35.042	22	2262	Undetermined	Control
Control03	Gene5	Amp	1.350	33.275	22	2262	OK	Control
Control04	Gene5	Inconclusive	1.228	35.550	22	139	Undetermined	Control
Control05	Gene5	No Amp	1.159	36.667	22	487	Undetermined	Control
Control06	Gene5	Amp	1.353	34.600	22	2262	OK	Control
Control07	Gene5	Amp	1.409	32.097	22	2262	OK	Control
Control08	Gene5	No Amp	1.105	37.147	22	487	Undetermined	Control
Control09	Gene5	No Amp	1.195	36.036	22	487	Undetermined	Control
Control11	Gene5	No Amp	1.203	36.241	22	487	Undetermined	Control
Control12	Gene5	Amp	1.301	34.645	22	2262	OK	Control
Control13	Gene5	No Amp	1.140	36.808	22	487	Undetermined	Control
Control14	Gene5	Amp	1.445	32.484	22	2262	OK	Control
Control15	Gene5	Amp	1.349	34.558	22	2262	OK	Control
Control16	Gene5	No Amp	1.139	36.844	22	487	Undetermined	Control
Control17	Gene5	Amp	1.352	34.369	22	2262	OK	Control
Control19	Gene5	Amp	1.433	31.799	22	2262	OK	Control
Control20	Gene5	Inconclusive	0.990	38.097	22	139	Undetermined	Control
Control21	Gene5	Amp	1.424	32.783	22	2262	OK	Control
Control22	Gene5	No Amp	1.238	35.709	22	487	Undetermined	Control
Control23	Gene5	Amp	1.459	31.588	22	2262	OK	Control
Control24	Gene5	No Amp	1.241	35.664	22	487	Undetermined	Control
Control25	Gene5	No Amp	1.020	37.935	22	487	Undetermined	Control
Control26	Gene5	No Amp	1.083	37.361	22	487	Undetermined	Control
Control01	Gene7	Amp	1.415	30.210	22	2262	OK	Control
Control02	Gene7	Amp	1.480	31.761	22	2262	OK	Control
Control03	Gene7	Amp	1.497	30.179	22	2262	OK	Control
Control04	Gene7	Amp	1.429	32.356	22	2262	OK	Control
Control05	Gene7	Amp	1.454	31.019	22	2262	OK	Control
Control06	Gene7	Amp	1.470	32.365	22	2262	OK	Control
Control07	Gene7	Amp	1.457	29.246	22	2262	OK	Control
Control08	Gene7	Inconclusive	1.244	35.913	22	139	Undetermined	Control
Control09	Gene7	Amp	1.449	30.209	22	2262	OK	Control
Control11	Gene7	Amp	1.375	34.374	22	2262	OK	Control
Control12	Gene7	No Amp	1.225	36.446	22	487	Undetermined	Control
Control13	Gene7	Amp	1.374	34.338	22	2262	OK	Control
Control14	Gene7	Amp	1.469	32.538	22	2262	OK	Control
Control15	Gene7	Amp	1.461	31.137	22	2262	OK	Control
Control16	Gene7	Inconclusive	1.222	36.135	22	139	Undetermined	Control
Control17	Gene7	Amp	1.400	33.805	22	2262	OK	Control
Control19	Gene7	Amp	1.430	31.707	22	2262	OK	Control
Control20	Gene7	Amp	1.453	31.178	22	2262	OK	Control
Control21	Gene7	Amp	1.471	31.580	22	2262	OK	Control
Control22	Gene7	Amp	1.348	35.072	22	2262	Undetermined	Control
Control23	Gene7	Amp	1.444	30.936	22	2262	OK	Control
Control24	Gene7	Amp	1.488	31.538	22	2262	OK	Control
Control25	Gene7	Amp	1.378	34.236	22	2262	OK	Control
Control26	Gene7	Amp	1.451	31.987	22	2262	OK	Control
Control01	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control01	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control02	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control02	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control03	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control03	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control04	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control04	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control05	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control05	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control06	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control06	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control07	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control07	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control08	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control08	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control09	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control09	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control11	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control11	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control12	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control12	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control13	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control13	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control14	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control14	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control15	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control15	Gene6	Inconclusive	0.000	Undetermined	22	139	Undetermined	Control
Control16	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control16	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control17	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control17	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control19	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control19	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control20	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control20	Gene6	No Amp	0.992	38.000	22	487	Undetermined	Control
Control21	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control21	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control22	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control22	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control23	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control23	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control24	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control24	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control25	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control25	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control26	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control26	Gene6	No Amp	0.000	Undetermined	22	487	Undetermined	Control
Control01	Gene8	Amp	1.341	20.304	22	2262	OK	Control
Control01	Gene8	Amp	1.365	20.575	22	2262	OK	Control
Control02	Gene8	Amp	1.327	22.641	22	2262	OK	Control
Control02	Gene8	Amp	1.404	20.454	22	2262	OK	Control
Control03	Gene8	Amp	1.284	21.572	22	2262	OK	Control
Control03	Gene8	Amp	1.415	22.193	22	2262	OK	Control
Control04	Gene8	Amp	1.306	21.198	22	2262	OK	Control
Control04	Gene8	Amp	1.389	19.606	22	2262	OK	Control
Control05	Gene8	Amp	1.335	23.963	22	2262	OK	Control
Control05	Gene8	Amp	1.365	22.653	22	2262	OK	Control
Control06	Gene8	Amp	1.390	23.206	22	2262	OK	Control
Control06	Gene8	Amp	1.400	22.109	22	2262	OK	Control
Control07	Gene8	Amp	1.319	18.432	22	2262	OK	Control
Control07	Gene8	Amp	1.361	22.500	22	2262	OK	Control
Control08	Gene8	Amp	1.307	26.604	22	2262	OK	Control
Control08	Gene8	Amp	1.382	26.289	22	2262	OK	Control
Control09	Gene8	Amp	1.339	21.502	22	2262	OK	Control
Control09	Gene8	Amp	1.360	21.358	22	2262	OK	Control
Control11	Gene8	Amp	1.326	24.005	22	2262	OK	Control
Control11	Gene8	Amp	1.388	28.576	22	2262	OK	Control
Control12	Gene8	Amp	1.347	23.785	22	2262	OK	Control
Control12	Gene8	Amp	1.376	22.437	22	2262	OK	Control
Control13	Gene8	Amp	1.331	25.106	22	2262	OK	Control
Control13	Gene8	Amp	1.373	24.794	22	2262	OK	Control
Control14	Gene8	Amp	1.338	22.152	22	2262	OK	Control
Control14	Gene8	Amp	1.398	22.540	22	2262	OK	Control
Control15	Gene8	Amp	1.329	22.064	22	2262	OK	Control
Control15	Gene8	Amp	1.396	22.683	22	2262	OK	Control
Control16	Gene8	Amp	1.322	24.962	22	2262	OK	Control
Control16	Gene8	Amp	1.370	25.876	22	2262	OK	Control
Control17	Gene8	Amp	1.345	23.963	22	2262	OK	Control
Control17	Gene8	Amp	1.390	22.583	22	2262	OK	Control
Control19	Gene8	Amp	1.310	21.865	22	2262	OK	Control
Control19	Gene8	Amp	1.351	22.883	22	2262	OK	Control
Control20	Gene8	Amp	1.319	23.391	22	2262	OK	Control
Control20	Gene8	Amp	1.368	23.348	22	2262	OK	Control
Control21	Gene8	Amp	1.295	23.527	22	2262	OK	Control
Control21	Gene8	Amp	1.393	23.057	22	2262	OK	Control
Control22	Gene8	Amp	1.328	22.732	22	2262	OK	Control
Control22	Gene8	Amp	1.380	23.331	22	2262	OK	Control
Control23	Gene8	Amp	1.321	22.090	22	2262	OK	Control
Control23	Gene8	Amp	1.365	22.863	22	2262	OK	Control
Control24	Gene8	Amp	1.337	23.646	22	2262	OK	Control
Control24	Gene8	Amp	1.364	22.792	22	2262	OK	Control
Control25	Gene8	Amp	1.314	23.132	22	2262	OK	Control
Control25	Gene8	Amp	1.327	22.819	22	2262	OK	Control
Control26	Gene8	Amp	1.297	23.330	22	2262	OK	Control
Control26	Gene8	Amp	1.363	21.815	22	2262	OK	Control
Control01	Gene9	Amp	1.364	33.106	22	2262	OK	Control
Control02	Gene9	No Amp	1.217	35.496	22	487	Undetermined	Control
Control03	Gene9	Amp	1.314	34.242	22	2262	OK	Control
Control04	Gene9	Inconclusive	1.245	34.659	22	139	Undetermined	Control
Control05	Gene9	No Amp	1.018	37.307	22	487	Undetermined	Control
Control06	Gene9	Amp	1.259	34.396	22	2262	OK	Control
Control07	Gene9	Amp	1.353	33.810	22	2262	OK	Control
Control08	Gene9	No Amp	0.425	Undetermined	22	487	Undetermined	Control
Control09	Gene9	Inconclusive	1.218	35.109	22	139	Undetermined	Control
Control11	Gene9	No Amp	1.057	37.184	22	487	Undetermined	Control
Control12	Gene9	No Amp	0.000	37.913	22	487	Undetermined	Control
Control13	Gene9	No Amp	0.581	Undetermined	22	487	Undetermined	Control
Control14	Gene9	No Amp	1.121	36.439	22	487	Undetermined	Control
Control15	Gene9	No Amp	1.174	35.960	22	487	Undetermined	Control
Control16	Gene9	No Amp	0.931	38.036	22	487	Undetermined	Control
Control17	Gene9	No Amp	1.181	35.752	22	487	Undetermined	Control
Control19	Gene9	No Amp	1.057	36.868	22	487	Undetermined	Control
Control20	Gene9	No Amp	0.847	38.560	22	487	Undetermined	Control
Control21	Gene9	No Amp	1.066	36.922	22	487	Undetermined	Control
Control22	Gene9	No Amp	1.054	36.950	22	487	Undetermined	Control
Control23	Gene9	No Amp	1.087	36.587	22	487	Undetermined	Control
Control24	Gene9	No Amp	0.776	Undetermined	22	487	Undetermined	Control
Control25	Gene9	No Amp	0.659	39.666	22	487	Undetermined	Control
Control26	Gene9	No Amp	1.134	36.291	22	487	Undetermined	Control
Control01	Gene10	Amp	1.437	24.298	22	2262	OK	Control
Control02	Gene10	Amp	1.418	26.532	22	2262	OK	Control
Control03	Gene10	Amp	1.429	24.420	22	2262	OK	Control
Control04	Gene10	Amp	1.413	24.345	22	2262	OK	Control
Control05	Gene10	Amp	1.442	28.339	22	2262	OK	Control
Control06	Gene10	Amp	1.435	25.369	22	2262	OK	Control
Control07	Gene10	Amp	1.434	22.832	22	2262	OK	Control
Control08	Gene10	Amp	1.431	30.892	22	2262	OK	Control
Control09	Gene10	Amp	1.426	25.181	22	2262	OK	Control
Control11	Gene10	Amp	1.434	28.046	22	2262	OK	Control
Control12	Gene10	Amp	1.428	27.624	22	2262	OK	Control
Control13	Gene10	Amp	1.408	28.976	22	2262	OK	Control
Control14	Gene10	Amp	1.439	25.450	22	2262	OK	Control
Control15	Gene10	Amp	1.429	27.237	22	2262	OK	Control
Control16	Gene10	Amp	1.436	30.689	22	2262	OK	Control
Control17	Gene10	Amp	1.421	26.403	22	2262	OK	Control
Control19	Gene10	Amp	1.413	25.237	22	2262	OK	Control
Control20	Gene10	Amp	1.432	28.537	22	2262	OK	Control
Control21	Gene10	Amp	1.416	28.007	22	2262	OK	Control
Control22	Gene10	Amp	1.423	26.988	22	2262	OK	Control
Control23	Gene10	Amp	1.441	25.973	22	2262	OK	Control
Control24	Gene10	Amp	1.426	30.753	22	2262	OK	Control
Control25	Gene10	Amp	1.420	29.686	22	2262	OK	Control
Control26	Gene10	Amp	1.408	26.266	22	2262	OK	Control
Control01	Gene11	Amp	1.342	31.023	22	2262	OK	Control
Control02	Gene11	Amp	1.225	34.949	22	2262	OK	Control
Control03	Gene11	Amp	1.372	33.244	22	2262	OK	Control
Control04	Gene11	Inconclusive	1.222	35.162	22	139	Undetermined	Control
Control05	Gene11	Inconclusive	1.022	37.411	22	139	Undetermined	Control
Control06	Gene11	No Amp	1.122	36.731	22	487	Undetermined	Control
Control07	Gene11	Amp	1.409	32.206	22	2262	OK	Control
Control08	Gene11	No Amp	1.096	36.856	22	487	Undetermined	Control
Control09	Gene11	Inconclusive	1.176	35.811	22	139	Undetermined	Control
Control11	Gene11	Inconclusive	1.205	35.379	22	139	Undetermined	Control
Control12	Gene11	Amp	1.328	34.225	22	2262	OK	Control
Control13	Gene11	No Amp	1.116	36.590	22	487	Undetermined	Control
Control14	Gene11	Amp	1.313	33.705	22	2262	OK	Control
Control15	Gene11	Amp	1.307	34.241	22	2262	OK	Control
Control16	Gene11	Inconclusive	1.147	36.318	22	139	Undetermined	Control
Control17	Gene11	Amp	1.306	34.324	22	2262	OK	Control
Control19	Gene11	Amp	1.262	34.931	22	2262	OK	Control
Control20	Gene11	No Amp	0.972	37.800	22	487	Undetermined	Control
Control21	Gene11	No Amp	1.126	36.768	22	487	Undetermined	Control
Control22	Gene11	No Amp	1.132	36.429	22	487	Undetermined	Control
Control23	Gene11	Amp	1.301	34.214	22	2262	OK	Control
Control24	Gene11	No Amp	1.078	37.129	22	487	Undetermined	Control
Control25	Gene11	Inconclusive	0.924	38.280	22	139	Undetermined	Control
Control26	Gene11	No Amp	1.062	37.217	22	487	Undetermined	Control
Control01	Gene12	Amp	1.484	26.650	22	2262	OK	Control
Control02	Gene12	Amp	1.454	28.126	22	2262	OK	Control
Control03	Gene12	Amp	1.467	26.773	22	2262	OK	Control
Control04	Gene12	Amp	1.465	27.184	22	2262	OK	Control
Control05	Gene12	Amp	1.473	31.200	22	2262	OK	Control
Control06	Gene12	Amp	1.474	30.033	22	2262	OK	Control
Control07	Gene12	Amp	1.467	24.361	22	2262	OK	Control
Control08	Gene12	Amp	1.490	32.381	22	2262	OK	Control
Control09	Gene12	Amp	1.458	25.741	22	2262	OK	Control
Control11	Gene12	Amp	1.436	33.216	22	2262	OK	Control
Control12	Gene12	Amp	1.467	31.438	22	2262	OK	Control
Control13	Gene12	Amp	1.477	32.976	22	2262	OK	Control
Control14	Gene12	Amp	1.494	28.837	22	2262	OK	Control
Control15	Gene12	Amp	1.467	29.286	22	2262	OK	Control
Control16	Gene12	Amp	1.488	33.656	22	2262	OK	Control
Control17	Gene12	Amp	1.489	28.817	22	2262	OK	Control
Control19	Gene12	Amp	1.487	26.441	22	2262	OK	Control
Control20	Gene12	Amp	1.464	31.217	22	2262	OK	Control
Control21	Gene12	Amp	1.479	30.291	22	2262	OK	Control
Control22	Gene12	Amp	1.474	29.846	22	2262	OK	Control
Control23	Gene12	Amp	1.478	27.895	22	2262	OK	Control
Control24	Gene12	Amp	1.474	31.549	22	2262	OK	Control
Control25	Gene12	Amp	1.467	30.650	22	2262	OK	Control
Control26	Gene12	Amp	1.462	31.305	22	2262	OK	Control
Control01	Gene13	Amp	1.312	27.184	22	2262	OK	Control
Control02	Gene13	Amp	1.335	30.141	22	2262	OK	Control
Control03	Gene13	Amp	1.324	28.254	22	2262	OK	Control
Control04	Gene13	Amp	1.320	29.610	22	2262	OK	Control
Control05	Gene13	Amp	1.356	30.498	22	2262	OK	Control
Control06	Gene13	Amp	1.357	30.609	22	2262	OK	Control
Control07	Gene13	Amp	1.339	25.958	22	2262	OK	Control
Control08	Gene13	Amp	1.331	33.224	22	2262	OK	Control
Control09	Gene13	Amp	1.362	28.540	22	2262	OK	Control
Control11	Gene13	Amp	1.286	29.098	22	2262	OK	Control
Control12	Gene13	Amp	1.348	32.302	22	2262	OK	Control
Control13	Gene13	Amp	1.336	33.340	22	2262	OK	Control
Control14	Gene13	Amp	1.330	29.349	22	2262	OK	Control
Control15	Gene13	Amp	1.342	29.588	22	2262	OK	Control
Control16	Gene13	Amp	1.353	32.489	22	2262	OK	Control
Control17	Gene13	Amp	1.344	31.802	22	2262	OK	Control
Control19	Gene13	Amp	1.358	30.745	22	2262	OK	Control
Control20	Gene13	Amp	1.342	28.445	22	2262	OK	Control
Control21	Gene13	Amp	1.347	30.081	22	2262	OK	Control
Control22	Gene13	Amp	1.327	31.564	22	2262	OK	Control
Control23	Gene13	Amp	1.360	28.015	22	2262	OK	Control
Control24	Gene13	Amp	1.335	30.521	22	2262	OK	Control
Control25	Gene13	Amp	1.338	31.110	22	2262	OK	Control
Control26	Gene13	Amp	1.317	30.384	22	2262	OK	Control
Control01	Gene14	Amp	1.434	27.374	22	2262	OK	Control
Control02	Gene14	Amp	1.455	28.869	22	2262	OK	Control
Control03	Gene14	Amp	1.439	27.388	22	2262	OK	Control
Control04	Gene14	Amp	1.447	29.513	22	2262	OK	Control
Control05	Gene14	Amp	1.447	28.562	22	2262	OK	Control
Control06	Gene14	Amp	1.448	27.914	22	2262	OK	Control
Control07	Gene14	Amp	1.454	27.031	22	2262	OK	Control
Control08	Gene14	Amp	1.443	31.643	22	2262	OK	Control
Control09	Gene14	Amp	1.443	29.173	22	2262	OK	Control
Control11	Gene14	Amp	1.412	28.404	22	2262	OK	Control
Control12	Gene14	Amp	1.446	30.616	22	2262	OK	Control
Control13	Gene14	Amp	1.434	29.684	22	2262	OK	Control
Control14	Gene14	Amp	1.426	28.474	22	2262	OK	Control
Control15	Gene14	Amp	1.420	27.870	22	2262	OK	Control
Control16	Gene14	Amp	1.457	30.335	22	2262	OK	Control
Control17	Gene14	Amp	1.453	29.660	22	2262	OK	Control
Control19	Gene14	Amp	1.451	29.295	22	2262	OK	Control
Control20	Gene14	Amp	1.448	28.808	22	2262	OK	Control
Control21	Gene14	Amp	1.460	29.240	22	2262	OK	Control
Control22	Gene14	Amp	1.451	30.587	22	2262	OK	Control
Control23	Gene14	Amp	1.454	27.166	22	2262	OK	Control
Control24	Gene14	Amp	1.460	29.261	22	2262	OK	Control
Control25	Gene14	Amp	1.465	30.052	22	2262	OK	Control
Control26	Gene14	Amp	1.462	28.956	22	2262	OK	Control
Control01	Gene15	Amp	1.414	27.695	22	2262	OK	Control
Control02	Gene15	Amp	1.462	29.128	22	2262	OK	Control
Control03	Gene15	Amp	1.416	29.971	22	2262	OK	Control
Control04	Gene15	Amp	1.419	28.356	22	2262	OK	Control
Control05	Gene15	Amp	1.429	31.068	22	2262	OK	Control
Control06	Gene15	Amp	1.448	30.542	22	2262	OK	Control
Control07	Gene15	Amp	1.457	25.846	22	2262	OK	Control
Control08	Gene15	Amp	1.435	33.485	22	2262	OK	Control
Control09	Gene15	Amp	1.406	28.687	22	2262	OK	Control
Control11	Gene15	Amp	1.437	31.074	22	2262	OK	Control
Control12	Gene15	Amp	1.436	31.027	22	2262	OK	Control
Control13	Gene15	Amp	1.430	32.600	22	2262	OK	Control
Control14	Gene15	Amp	1.429	30.367	22	2262	OK	Control
Control15	Gene15	Amp	1.436	30.280	22	2262	OK	Control
Control16	Gene15	Amp	1.429	32.432	22	2262	OK	Control
Control17	Gene15	Amp	1.449	31.831	22	2262	OK	Control
Control19	Gene15	Amp	1.421	29.260	22	2262	OK	Control
Control20	Gene15	Amp	1.440	31.896	22	2262	OK	Control
Control21	Gene15	Amp	1.425	31.481	22	2262	OK	Control
Control22	Gene15	Amp	1.436	29.176	22	2262	OK	Control
Control23	Gene15	Amp	1.424	30.291	22	2262	OK	Control
Control24	Gene15	Amp	1.449	30.033	22	2262	OK	Control
Control25	Gene15	Amp	1.411	30.712	22	2262	OK	Control
Control26	Gene15	Amp	1.432	31.174	22	2262	OK	Control
Control01	Gene16	Amp	1.447	20.631	22	2262	OK	Control
Control02	Gene16	Amp	1.434	21.196	22	2262	OK	Control
Control03	Gene16	Amp	1.402	21.533	22	2262	OK	Control
Control04	Gene16	Amp	1.451	21.585	22	2262	OK	Control
Control05	Gene16	Amp	1.472	21.863	22	2262	OK	Control
Control06	Gene16	Amp	1.467	21.502	22	2262	OK	Control
Control07	Gene16	Amp	1.479	19.801	22	2262	OK	Control
Control08	Gene16	Amp	1.453	25.132	22	2262	OK	Control
Control09	Gene16	Amp	1.472	21.906	22	2262	OK	Control
Control11	Gene16	Amp	1.448	23.547	22	2262	OK	Control
Control12	Gene16	Amp	1.503	22.493	22	2262	OK	Control
Control13	Gene16	Amp	1.459	24.812	22	2262	OK	Control
Control14	Gene16	Amp	1.468	22.689	22	2262	OK	Control
Control15	Gene16	Amp	1.458	21.840	22	2262	OK	Control
Control16	Gene16	Amp	1.463	24.516	22	2262	OK	Control
Control17	Gene16	Amp	1.468	24.108	22	2262	OK	Control
Control19	Gene16	Amp	1.425	22.300	22	2262	OK	Control
Control20	Gene16	Amp	1.445	23.302	22	2262	OK	Control
Control21	Gene16	Amp	1.465	23.379	22	2262	OK	Control
Control22	Gene16	Amp	1.454	22.972	22	2262	OK	Control
Control23	Gene16	Amp	1.448	22.179	22	2262	OK	Control
Control24	Gene16	Amp	1.470	22.644	22	2262	OK	Control
Control25	Gene16	Amp	1.464	22.980	22	2262	OK	Control
Control26	Gene16	Amp	1.457	22.844	22	2262	OK	Control
Control01	Gene17	Amp	1.300	24.982	22	2262	OK	Control
Control02	Gene17	Amp	1.323	26.433	22	2262	OK	Control
Control03	Gene17	Amp	1.295	25.423	22	2262	OK	Control
Control04	Gene17	Amp	1.305	25.747	22	2262	OK	Control
Control05	Gene17	Amp	1.302	26.798	22	2262	OK	Control
Control06	Gene17	Amp	1.318	25.843	22	2262	OK	Control
Control07	Gene17	Amp	1.344	24.436	22	2262	OK	Control
Control08	Gene17	Amp	1.314	30.133	22	2262	OK	Control
Control09	Gene17	Amp	1.319	26.611	22	2262	OK	Control
Control11	Gene17	Amp	1.316	28.031	22	2262	OK	Control
Control12	Gene17	Amp	1.318	27.388	22	2262	OK	Control
Control13	Gene17	Amp	1.320	28.904	22	2262	OK	Control
Control14	Gene17	Amp	1.318	26.692	22	2262	OK	Control
Control15	Gene17	Amp	1.337	26.357	22	2262	OK	Control
Control16	Gene17	Amp	1.320	29.772	22	2262	OK	Control
Control17	Gene17	Amp	1.324	27.724	22	2262	OK	Control
Control19	Gene17	Amp	1.319	26.403	22	2262	OK	Control
Control20	Gene17	Amp	1.308	29.281	22	2262	OK	Control
Control21	Gene17	Amp	1.324	27.872	22	2262	OK	Control
Control22	Gene17	Amp	1.332	27.208	22	2262	OK	Control
Control23	Gene17	Amp	1.325	26.685	22	2262	OK	Control
Control24	Gene17	Amp	1.326	29.111	22	2262	OK	Control
Control25	Gene17	Amp	1.325	28.990	22	2262	OK	Control
Control26	Gene17	Amp	1.340	28.401	22	2262	OK	Control
Control01	Gene18	Amp	1.441	26.098	22	2262	OK	Control
Control02	Gene18	Amp	1.428	28.016	22	2262	OK	Control
Control03	Gene18	Amp	1.410	27.281	22	2262	OK	Control
Control04	Gene18	Amp	1.422	27.259	22	2262	OK	Control
Control05	Gene18	Amp	1.414	29.582	22	2262	OK	Control
Control06	Gene18	Amp	1.442	28.328	22	2262	OK	Control
Control07	Gene18	Amp	1.437	25.323	22	2262	OK	Control
Control08	Gene18	Amp	1.441	31.399	22	2262	OK	Control
Control09	Gene18	Amp	1.401	28.275	22	2262	OK	Control
