Sample	Gene	Ct	Group	FLAG
Control22	PDGFA	31.564	Control	OK
Control23	PDGFA	28.015	Control	OK
Control24	PDGFA	30.521	Control	OK
Control25	PDGFA	31.11	Control	OK
Control26	PDGFA	30.384	Control	OK
AAA1	PDGFB	27.905	AAA	OK
AAA10	PDGFB	28.464	AAA	OK
AAA12	PDGFB	28.12	AAA	OK
AAA13	PDGFB	30.78	AAA	OK
AAA14	PDGFB	30.881	AAA	OK
AAA15	PDGFB	29.749	AAA	OK
AAA16	PDGFB	30.425	AAA	OK
AAA17	PDGFB	29.822	AAA	OK
AAA18	PDGFB	28.189	AAA	OK
AAA19	PDGFB	27.681	AAA	OK
AAA2	PDGFB	27.712	AAA	OK
AAA22	PDGFB	30.036	AAA	OK
AAA23	PDGFB	30.988	AAA	OK
AAA24	PDGFB	31.594	AAA	OK
AAA25	PDGFB	31.212	AAA	OK
AAA26	PDGFB	27.576	AAA	OK
AAA28	PDGFB	27.682	AAA	OK
AAA29	PDGFB	27.384	AAA	OK
AAA3	PDGFB	30.782	AAA	OK
AAA30	PDGFB	30.523	AAA	OK
AAA31	PDGFB	27.948	AAA	OK
AAA32	PDGFB	28.469	AAA	OK
AAA33	PDGFB	27.428	AAA	OK
AAA34	PDGFB	30.006	AAA	OK
AAA35	PDGFB	27.992	AAA	OK
AAA36	PDGFB	26.934	AAA	OK
AAA37	PDGFB	26.537	AAA	OK
AAA38	PDGFB	26.758	AAA	OK
AAA39	PDGFB	28.353	AAA	OK
AAA4	PDGFB	29.89	AAA	OK
AAA40	PDGFB	29.048	AAA	OK
AAA41	PDGFB	29.105	AAA	OK
AAA42	PDGFB	30.067	AAA	OK
AAA43	PDGFB	27.531	AAA	OK
AAA44	PDGFB	29.282	AAA	OK
AAA5	PDGFB	30.729	AAA	OK
AAA6	PDGFB	28.947	AAA	OK
AAA7	PDGFB	30.67	AAA	OK
AAA8	PDGFB	29.683	AAA	OK
AAA9	PDGFB	28.723	AAA	OK
VV1	PDGFB	30.42	VV	OK
VV10	PDGFB	30.343	VV	OK
VV11	PDGFB	30.206	VV	OK
VV12	PDGFB	30.403	VV	OK
VV14	PDGFB	28.982	VV	OK
VV15	PDGFB	31.355	VV	OK
VV16	PDGFB	29.959	VV	OK
VV17	PDGFB	30.476	VV	OK
VV18	PDGFB	30.165	VV	OK
VV19	PDGFB	30.509	VV	OK
VV2	PDGFB	30.629	VV	OK
VV20	PDGFB	30.461	VV	OK
VV21	PDGFB	32.621	VV	OK
VV22	PDGFB	29.126	VV	OK
VV23	PDGFB	28.109	VV	OK
VV24	PDGFB	28.917	VV	OK
VV25	PDGFB	27.004	VV	OK
VV26	PDGFB	26.511	VV	OK
VV27	PDGFB	26.29	VV	OK
VV29	PDGFB	28.49	VV	OK
VV3	PDGFB	30.315	VV	OK
VV32	PDGFB	28.954	VV	OK
VV33	PDGFB	27.956	VV	OK
VV34	PDGFB	28.653	VV	OK
VV35	PDGFB	29.037	VV	OK
VV36	PDGFB	30.626	VV	OK
VV37	PDGFB	32.087	VV	OK
VV38	PDGFB	31.897	VV	OK
VV39	PDGFB	33.044	VV	OK
VV4	PDGFB	30.886	VV	OK
VV40	PDGFB	33.871	VV	OK
VV41	PDGFB	30.938	VV	OK
VV43	PDGFB	31.124	VV	OK
VV44	PDGFB	33.977	VV	OK
VV45	PDGFB	35.35	VV	Undetermined
VV5	PDGFB	28.728	VV	OK
VV6	PDGFB	31.065	VV	OK
VV7	PDGFB	30.72	VV	OK
VV8	PDGFB	30.148	VV	OK
VV9	PDGFB	29.132	VV	OK
Control01	PDGFB	27.374	Control	OK
Control02	PDGFB	28.869	Control	OK
Control03	PDGFB	27.388	Control	OK
Control04	PDGFB	29.513	Control	OK
Control05	PDGFB	28.562	Control	OK
Control06	PDGFB	27.914	Control	OK
Control07	PDGFB	27.031	Control	OK
Control08	PDGFB	31.643	Control	OK
Control09	PDGFB	29.173	Control	OK
Control11	PDGFB	28.404	Control	OK
Control12	PDGFB	30.616	Control	OK
Control13	PDGFB	29.684	Control	OK
Control14	PDGFB	28.474	Control	OK
Control15	PDGFB	27.87	Control	OK
Control16	PDGFB	30.335	Control	OK
Control17	PDGFB	29.66	Control	OK
Control19	PDGFB	29.295	Control	OK
Control20	PDGFB	28.808	Control	OK
Control21	PDGFB	29.24	Control	OK
Control22	PDGFB	30.587	Control	OK
Control23	PDGFB	27.166	Control	OK
Control24	PDGFB	29.261	Control	OK
Control25	PDGFB	30.052	Control	OK
Control26	PDGFB	28.956	Control	OK
AAA1	TGFA	30.048	AAA	OK
AAA10	TGFA	31.239	AAA	OK
AAA12	TGFA	31.99	AAA	OK
AAA13	TGFA	32.096	AAA	OK
AAA14	TGFA	29.436	AAA	OK
AAA15	TGFA	31.263	AAA	OK
AAA16	TGFA	31.051	AAA	OK
AAA17	TGFA	32.47	AAA	OK
AAA18	TGFA	29.848	AAA	OK
AAA19	TGFA	31.189	AAA	OK
AAA2	TGFA	30.169	AAA	OK
AAA22	TGFA	27.488	AAA	OK
AAA23	TGFA	26.899	AAA	OK
AAA24	TGFA	32.71	AAA	OK
AAA25	TGFA	31.056	AAA	OK
AAA26	TGFA	30.506	AAA	OK
AAA28	TGFA	30.02	AAA	OK
AAA29	TGFA	28.662	AAA	OK
AAA3	TGFA	31.458	AAA	OK
AAA30	TGFA	28.736	AAA	OK
AAA31	TGFA	25.9	AAA	OK
AAA32	TGFA	29.232	AAA	OK
AAA33	TGFA	29.121	AAA	OK
AAA34	TGFA	30.149	AAA	OK
AAA35	TGFA	26.361	AAA	OK
AAA36	TGFA	28.529	AAA	OK
AAA37	TGFA	28.891	AAA	OK
AAA38	TGFA	26.624	AAA	OK
AAA39	TGFA	30.426	AAA	OK
AAA4	TGFA	32.103	AAA	OK
AAA40	TGFA	30.73	AAA	OK
AAA41	TGFA	28.992	AAA	OK
AAA42	TGFA	29.436	AAA	OK
AAA43	TGFA	30.866	AAA	OK
AAA44	TGFA	31.693	AAA	OK
AAA5	TGFA	33.11	AAA	OK
AAA6	TGFA	28.651	AAA	OK
AAA7	TGFA	31.467	AAA	OK
AAA8	TGFA	31.653	AAA	OK
AAA9	TGFA	30.641	AAA	OK
VV1	TGFA	33.077	VV	OK
VV10	TGFA	31.734	VV	OK
VV11	TGFA	32.449	VV	OK
VV12	TGFA	33.033	VV	OK
VV14	TGFA	32.762	VV	OK
VV15	TGFA	32.436	VV	OK
VV16	TGFA	31.38	VV	OK
VV17	TGFA	29.84	VV	OK
VV18	TGFA	30.639	VV	OK
VV19	TGFA	32.328	VV	OK
VV2	TGFA	33.258	VV	OK
VV20	TGFA	27.486	VV	OK
VV21	TGFA	34.401	VV	OK
VV22	TGFA	32.357	VV	OK
VV23	TGFA	30.352	VV	OK
VV24	TGFA	29.498	VV	OK
VV25	TGFA	27.405	VV	OK
VV26	TGFA	29.252	VV	OK
VV27	TGFA	28.493	VV	OK
VV29	TGFA	29.974	VV	OK
VV3	TGFA	29.439	VV	OK
VV32	TGFA	31.534	VV	OK
VV33	TGFA	28.828	VV	OK
VV34	TGFA	29.263	VV	OK
VV35	TGFA	32.307	VV	OK
VV36	TGFA	31.731	VV	OK
VV37	TGFA	31.822	VV	OK
VV38	TGFA	31.809	VV	OK
VV39	TGFA	35.567	VV	Undetermined
VV4	TGFA	31.586	VV	OK
VV40	TGFA	35.421	VV	Undetermined
VV41	TGFA	37.277	VV	Undetermined
VV43	TGFA	34.773	VV	OK
VV44	TGFA	Undetermined	VV	Undetermined
VV45	TGFA	Undetermined	VV	Undetermined
VV5	TGFA	31.32	VV	OK
VV6	TGFA	31.702	VV	OK
VV7	TGFA	33.885	VV	OK
VV8	TGFA	32.634	VV	OK
VV9	TGFA	30.901	VV	OK
Control01	TGFA	27.695	Control	OK
Control02	TGFA	29.128	Control	OK
Control03	TGFA	29.971	Control	OK
Control04	TGFA	28.356	Control	OK
Control05	TGFA	31.068	Control	OK
Control06	TGFA	30.542	Control	OK
Control07	TGFA	25.846	Control	OK
Control08	TGFA	33.485	Control	OK
Control09	TGFA	28.687	Control	OK
Control11	TGFA	31.074	Control	OK
Control12	TGFA	31.027	Control	OK
Control13	TGFA	32.6	Control	OK
Control14	TGFA	30.367	Control	OK
Control15	TGFA	30.28	Control	OK
Control16	TGFA	32.432	Control	OK
Control17	TGFA	31.831	Control	OK
Control19	TGFA	29.26	Control	OK
Control20	TGFA	31.896	Control	OK
Control21	TGFA	31.481	Control	OK
Control22	TGFA	29.176	Control	OK
Control23	TGFA	30.291	Control	OK
Control24	TGFA	30.033	Control	OK
Control25	TGFA	30.712	Control	OK
Control26	TGFA	31.174	Control	OK
AAA1	TGFB	21.691	AAA	OK
AAA10	TGFB	22.493	AAA	OK
AAA12	TGFB	23.58	AAA	OK
AAA13	TGFB	24.461	AAA	OK
AAA14	TGFB	22.741	AAA	OK
AAA15	TGFB	23.971	AAA	OK
AAA16	TGFB	23.443	AAA	OK
AAA17	TGFB	24.294	AAA	OK
AAA18	TGFB	22.928	AAA	OK
AAA19	TGFB	22.091	AAA	OK
AAA2	TGFB	22.332	AAA	OK
AAA22	TGFB	23.414	AAA	OK
AAA23	TGFB	23.691	AAA	OK
AAA24	TGFB	25.56	AAA	OK
AAA25	TGFB	25.737	AAA	OK
AAA26	TGFB	22.528	AAA	OK
AAA28	TGFB	22.034	AAA	OK
AAA29	TGFB	20.62	AAA	OK
AAA3	TGFB	24.104	AAA	OK
AAA30	TGFB	23.812	AAA	OK
AAA31	TGFB	21.042	AAA	OK
AAA32	TGFB	22.497	AAA	OK
AAA33	TGFB	21.006	AAA	OK
AAA34	TGFB	22.818	AAA	OK
AAA35	TGFB	20.847	AAA	OK
AAA36	TGFB	20.162	AAA	OK
AAA37	TGFB	20.963	AAA	OK
AAA38	TGFB	19.997	AAA	OK
AAA39	TGFB	22.551	AAA	OK
AAA4	TGFB	23.271	AAA	OK
AAA40	TGFB	22.867	AAA	OK
AAA41	TGFB	21.658	AAA	OK
AAA42	TGFB	23.732	AAA	OK
AAA43	TGFB	22.849	AAA	OK
AAA44	TGFB	24.81	AAA	OK
AAA5	TGFB	25.119	AAA	OK
AAA6	TGFB	22.194	AAA	OK
AAA7	TGFB	23.467	AAA	OK
AAA8	TGFB	23.643	AAA	OK
AAA9	TGFB	22.883	AAA	OK
VV1	TGFB	24.569	VV	OK
VV10	TGFB	24.414	VV	OK
VV11	TGFB	23.875	VV	OK
VV12	TGFB	23.9	VV	OK
VV14	TGFB	23.073	VV	OK
VV15	TGFB	23.71	VV	OK
VV16	TGFB	23.079	VV	OK
VV17	TGFB	23.468	VV	OK
VV18	TGFB	23.853	VV	OK
VV19	TGFB	24.179	VV	OK
VV2	TGFB	25.275	VV	OK
VV20	TGFB	22.992	VV	OK
VV21	TGFB	26.588	VV	OK
VV22	TGFB	24.531	VV	OK
VV23	TGFB	22.753	VV	OK
VV24	TGFB	22.1	VV	OK
VV25	TGFB	20.91	VV	OK
VV26	TGFB	20.83	VV	OK
VV27	TGFB	20.843	VV	OK
VV29	TGFB	22.128	VV	OK
VV3	TGFB	23.782	VV	OK
VV32	TGFB	22.386	VV	OK
VV33	TGFB	21.156	VV	OK
VV34	TGFB	22.043	VV	OK
VV35	TGFB	23.228	VV	OK
VV36	TGFB	25.6	VV	OK
VV37	TGFB	27.385	VV	OK
VV38	TGFB	27.205	VV	OK
VV39	TGFB	29.123	VV	OK
VV4	TGFB	24.281	VV	OK
VV40	TGFB	29.434	VV	OK
VV41	TGFB	28.252	VV	OK
VV43	TGFB	27.458	VV	OK
VV44	TGFB	31.415	VV	OK
VV45	TGFB	33.231	VV	OK
VV5	TGFB	22.592	VV	OK
VV6	TGFB	24.144	VV	OK
VV7	TGFB	24.472	VV	OK
VV8	TGFB	24.394	VV	OK
VV9	TGFB	22.767	VV	OK
Control01	TGFB	20.631	Control	OK
Control02	TGFB	21.196	Control	OK
Control03	TGFB	21.533	Control	OK
Control04	TGFB	21.585	Control	OK
Control05	TGFB	21.863	Control	OK
Control06	TGFB	21.502	Control	OK
Control07	TGFB	19.801	Control	OK
Control08	TGFB	25.132	Control	OK
Control09	TGFB	21.906	Control	OK
Control11	TGFB	23.547	Control	OK
Control12	TGFB	22.493	Control	OK
Control13	TGFB	24.812	Control	OK
Control14	TGFB	22.689	Control	OK
Control15	TGFB	21.84	Control	OK
Control16	TGFB	24.516	Control	OK
Control17	TGFB	24.108	Control	OK
Control19	TGFB	22.3	Control	OK
Control20	TGFB	23.302	Control	OK
Control21	TGFB	23.379	Control	OK
Control22	TGFB	22.972	Control	OK
Control23	TGFB	22.179	Control	OK
Control24	TGFB	22.644	Control	OK
Control25	TGFB	22.98	Control	OK
Control26	TGFB	22.844	Control	OK
AAA1	TNF	26.272	AAA	OK
AAA10	TNF	27.116	AAA	OK
AAA12	TNF	27.622	AAA	OK
AAA13	TNF	28.483	AAA	OK
AAA14	TNF	27.626	AAA	OK
AAA15	TNF	27.648	AAA	OK
AAA16	TNF	27.876	AAA	OK
AAA17	TNF	28.174	AAA	OK
AAA18	TNF	26.514	AAA	OK
AAA19	TNF	27.548	AAA	OK
AAA2	TNF	27.45	AAA	OK
AAA22	TNF	26.332	AAA	OK
AAA23	TNF	28.455	AAA	OK
AAA24	TNF	28.893	AAA	OK
AAA25	TNF	29.132	AAA	OK
AAA26	TNF	27.017	AAA	OK
AAA28	TNF	26.116	AAA	OK
AAA29	TNF	25.176	AAA	OK
AAA3	TNF	29.103	AAA	OK
AAA30	TNF	28.229	AAA	OK
AAA31	TNF	25.281	AAA	OK
AAA32	TNF	26.606	AAA	OK
AAA33	TNF	25.055	AAA	OK
AAA34	TNF	28.062	AAA	OK
AAA35	TNF	24.936	AAA	OK
AAA36	TNF	25.334	AAA	OK
AAA37	TNF	26.187	AAA	OK
AAA38	TNF	24.447	AAA	OK
AAA39	TNF	27.124	AAA	OK
AAA4	TNF	27.244	AAA	OK
AAA40	TNF	27.943	AAA	OK
AAA41	TNF	27.137	AAA	OK
AAA42	TNF	28.823	AAA	OK
AAA43	TNF	26.406	AAA	OK
AAA44	TNF	29.328	AAA	OK
AAA5	TNF	28.69	AAA	OK
AAA6	TNF	26.855	AAA	OK
AAA7	TNF	28.681	AAA	OK
AAA8	TNF	26.989	AAA	OK
AAA9	TNF	27.564	AAA	OK
VV1	TNF	28.718	VV	OK
VV10	TNF	28.785	VV	OK
VV11	TNF	28.757	VV	OK
VV12	TNF	28.999	VV	OK
VV14	TNF	28.626	VV	OK
VV15	TNF	28.009	VV	OK
VV16	TNF	27.289	VV	OK
VV17	TNF	28.028	VV	OK
VV18	TNF	29.078	VV	OK
VV19	TNF	28.929	VV	OK
VV2	TNF	29.334	VV	OK
VV20	TNF	29.087	VV	OK
VV21	TNF	29.665	VV	OK
VV22	TNF	29.103	VV	OK
VV23	TNF	27.31	VV	OK
VV24	TNF	26.726	VV	OK
VV25	TNF	26.148	VV	OK
VV26	TNF	26.002	VV	OK
VV27	TNF	25.508	VV	OK
VV29	TNF	26.731	VV	OK
VV3	TNF	27.454	VV	OK
VV32	TNF	25.679	VV	OK
VV33	TNF	26.476	VV	OK
VV34	TNF	27.591	VV	OK
VV35	TNF	28.858	VV	OK
VV36	TNF	29.169	VV	OK
VV37	TNF	32.242	VV	OK
VV38	TNF	32.457	VV	OK
VV39	TNF	35.856	VV	Undetermined
VV4	TNF	28.956	VV	OK
VV40	TNF	33.598	VV	OK
VV41	TNF	31.864	VV	OK
VV43	TNF	32.48	VV	OK
VV44	TNF	36.056	VV	Undetermined
VV45	TNF	37.801	VV	Undetermined
VV5	TNF	27.165	VV	OK
VV6	TNF	29.966	VV	OK
VV7	TNF	29.66	VV	OK
VV8	TNF	28.742	VV	OK
VV9	TNF	28.108	VV	OK
Control01	TNF	24.982	Control	OK
Control02	TNF	26.433	Control	OK
Control03	TNF	25.423	Control	OK
Control04	TNF	25.747	Control	OK
Control05	TNF	26.798	Control	OK
Control06	TNF	25.843	Control	OK
Control07	TNF	24.436	Control	OK
Control08	TNF	30.133	Control	OK
Control09	TNF	26.611	Control	OK
Control11	TNF	28.031	Control	OK
Control12	TNF	27.388	Control	OK
Control13	TNF	28.904	Control	OK
Control14	TNF	26.692	Control	OK
Control15	TNF	26.357	Control	OK
Control16	TNF	29.772	Control	OK
Control17	TNF	27.724	Control	OK
Control19	TNF	26.403	Control	OK
Control20	TNF	29.281	Control	OK
Control21	TNF	27.872	Control	OK
Control22	TNF	27.208	Control	OK
Control23	TNF	26.685	Control	OK
Control24	TNF	29.111	Control	OK
Control25	TNF	28.99	Control	OK
Control26	TNF	28.401	Control	OK
AAA1	VEGFA	28.165	AAA	OK
AAA10	VEGFA	28.545	AAA	OK
AAA12	VEGFA	29.613	AAA	OK
AAA13	VEGFA	30.154	AAA	OK
AAA14	VEGFA	26.575	AAA	OK
AAA15	VEGFA	29.287	AAA	OK
AAA16	VEGFA	28.905	AAA	OK
AAA17	VEGFA	29.862	AAA	OK
AAA18	VEGFA	27.967	AAA	OK
AAA19	VEGFA	27.779	AAA	OK
AAA2	VEGFA	30.083	AAA	OK
AAA22	VEGFA	26.631	AAA	OK
AAA23	VEGFA	27.834	AAA	OK
AAA24	VEGFA	31.135	AAA	OK
AAA25	VEGFA	28.991	AAA	OK
AAA26	VEGFA	28.743	AAA	OK
AAA28	VEGFA	27.41	AAA	OK
AAA29	VEGFA	27.431	AAA	OK
AAA3	VEGFA	29.432	AAA	OK
AAA30	VEGFA	28.03	AAA	OK
AAA31	VEGFA	25.592	AAA	OK
AAA32	VEGFA	27.622	AAA	OK
AAA33	VEGFA	28.036	AAA	OK
AAA34	VEGFA	29.474	AAA	OK
AAA35	VEGFA	26.887	AAA	OK
AAA36	VEGFA	26.879	AAA	OK
AAA37	VEGFA	28.048	AAA	OK
AAA38	VEGFA	26.307	AAA	OK
AAA39	VEGFA	28.61	AAA	OK
AAA4	VEGFA	29.898	AAA	OK
AAA40	VEGFA	29.338	AAA	OK
AAA41	VEGFA	27.937	AAA	OK
AAA42	VEGFA	29.378	AAA	OK
AAA43	VEGFA	28.878	AAA	OK
AAA44	VEGFA	30.424	AAA	OK
AAA5	VEGFA	30.447	AAA	OK
AAA6	VEGFA	27.769	AAA	OK
AAA7	VEGFA	29.402	AAA	OK
AAA8	VEGFA	29.386	AAA	OK
AAA9	VEGFA	28.962	AAA	OK
VV1	VEGFA	30.633	VV	OK
VV10	VEGFA	30.683	VV	OK
VV11	VEGFA	29.712	VV	OK
VV12	VEGFA	30.954	VV	OK
VV14	VEGFA	30.611	VV	OK
VV15	VEGFA	30.016	VV	OK
VV16	VEGFA	29.451	VV	OK
VV17	VEGFA	29.229	VV	OK
VV18	VEGFA	29.499	VV	OK
VV19	VEGFA	29.674	VV	OK
VV2	VEGFA	29.751	VV	OK
VV20	VEGFA	28.885	VV	OK
VV21	VEGFA	31.57	VV	OK
VV22	VEGFA	29.137	VV	OK
VV23	VEGFA	27.613	VV	OK
VV24	VEGFA	27.172	VV	OK
VV25	VEGFA	26.613	VV	OK
VV26	VEGFA	26.745	VV	OK
VV27	VEGFA	27.563	VV	OK
VV29	VEGFA	28.181	VV	OK
VV3	VEGFA	28.979	VV	OK
VV32	VEGFA	28.064	VV	OK
VV33	VEGFA	26.964	VV	OK
VV34	VEGFA	27.792	VV	OK
VV35	VEGFA	29.772	VV	OK
VV36	VEGFA	29.248	VV	OK
VV37	VEGFA	32.495	VV	OK
VV38	VEGFA	30.343	VV	OK
VV39	VEGFA	32.998	VV	OK
VV4	VEGFA	30.98	VV	OK
VV40	VEGFA	32.353	VV	OK
VV41	VEGFA	30.516	VV	OK
VV43	VEGFA	29.987	VV	OK
VV44	VEGFA	32.602	VV	OK
VV45	VEGFA	34.862	VV	OK
VV5	VEGFA	29.245	VV	OK
VV6	VEGFA	31.255	VV	OK
VV7	VEGFA	31.196	VV	OK
VV8	VEGFA	30.167	VV	OK
VV9	VEGFA	29.305	VV	OK
Control01	VEGFA	26.098	Control	OK
Control02	VEGFA	28.016	Control	OK
Control03	VEGFA	27.281	Control	OK
Control04	VEGFA	27.259	Control	OK
Control05	VEGFA	29.582	Control	OK
Control06	VEGFA	28.328	Control	OK
Control07	VEGFA	25.323	Control	OK
Control08	VEGFA	31.399	Control	OK
Control09	VEGFA	28.275	Control	OK
Control11	VEGFA	30.237	Control	OK
Control12	VEGFA	29.819	Control	OK
Control13	VEGFA	30.251	Control	OK
Control14	VEGFA	28.33	Control	OK
Control15	VEGFA	28.22	Control	OK
Control16	VEGFA	30.991	Control	OK
Control17	VEGFA	29.303	Control	OK
Control19	VEGFA	28.09	Control	OK
Control20	VEGFA	30.491	Control	OK
Control21	VEGFA	29.494	Control	OK
Control22	VEGFA	28.941	Control	OK
Control23	VEGFA	28.074	Control	OK
Control24	VEGFA	29.055	Control	OK
Control25	VEGFA	28.702	Control	OK
Control26	VEGFA	29.012	Control	OK
AAA1	VEGFB	28.263	AAA	OK
AAA10	VEGFB	27.358	AAA	OK
AAA12	VEGFB	28.867	AAA	OK
AAA13	VEGFB	29.951	AAA	OK
AAA14	VEGFB	29.459	AAA	OK
AAA15	VEGFB	29.018	AAA	OK
AAA16	VEGFB	28.959	AAA	OK
AAA17	VEGFB	28.763	AAA	OK
AAA18	VEGFB	27.735	AAA	OK
AAA19	VEGFB	27.325	AAA	OK
AAA2	VEGFB	27.947	AAA	OK
AAA22	VEGFB	29.077	AAA	OK
AAA23	VEGFB	30.415	AAA	OK
AAA24	VEGFB	31.039	AAA	OK
AAA25	VEGFB	29.69	AAA	OK
AAA26	VEGFB	27.54	AAA	OK
AAA28	VEGFB	28.254	AAA	OK
AAA29	VEGFB	27.203	AAA	OK
AAA3	VEGFB	29.266	AAA	OK
AAA30	VEGFB	29.804	AAA	OK
AAA31	VEGFB	27.999	AAA	OK
AAA32	VEGFB	28.189	AAA	OK
AAA33	VEGFB	26.52	AAA	OK
AAA34	VEGFB	28.837	AAA	OK
AAA35	VEGFB	27.584	AAA	OK
AAA36	VEGFB	26.524	AAA	OK
AAA37	VEGFB	26.558	AAA	OK
AAA38	VEGFB	26.054	AAA	OK
AAA39	VEGFB	28.112	AAA	OK
AAA4	VEGFB	28.391	AAA	OK
AAA40	VEGFB	29.138	AAA	OK
AAA41	VEGFB	27.208	AAA	OK
AAA42	VEGFB	29.554	AAA	OK
AAA43	VEGFB	27.926	AAA	OK
AAA44	VEGFB	29.693	AAA	OK
AAA5	VEGFB	Undetermined	AAA	Undetermined
AAA6	VEGFB	28.062	AAA	OK
AAA7	VEGFB	29.479	AAA	OK
AAA8	VEGFB	29.475	AAA	OK
AAA9	VEGFB	28.246	AAA	OK
VV1	VEGFB	29.534	VV	OK
VV10	VEGFB	29.737	VV	OK
VV11	VEGFB	28.758	VV	OK
VV12	VEGFB	29.855	VV	OK
VV14	VEGFB	28.611	VV	OK
VV15	VEGFB	30.169	VV	OK
VV16	VEGFB	29.248	VV	OK
VV17	VEGFB	29.686	VV	OK
VV18	VEGFB	29.234	VV	OK
VV19	VEGFB	29.885	VV	OK
VV2	VEGFB	29.662	VV	OK
VV20	VEGFB	30.285	VV	OK
VV21	VEGFB	32.169	VV	OK
VV22	VEGFB	29.187	VV	OK
VV23	VEGFB	28.344	VV	OK
VV24	VEGFB	28.654	VV	OK
VV25	VEGFB	27.306	VV	OK
VV26	VEGFB	26.417	VV	OK
VV27	VEGFB	26.235	VV	OK
VV29	VEGFB	28.375	VV	OK
VV3	VEGFB	29.996	VV	OK
VV32	VEGFB	28.679	VV	OK
VV33	VEGFB	27.301	VV	OK
VV34	VEGFB	28.43	VV	OK
VV35	VEGFB	29.109	VV	OK
VV36	VEGFB	29.775	VV	OK
VV37	VEGFB	31.775	VV	OK
VV38	VEGFB	30.394	VV	OK
VV39	VEGFB	31.987	VV	OK
VV4	VEGFB	Undetermined	VV	Undetermined
VV40	VEGFB	32.624	VV	OK
VV41	VEGFB	30.082	VV	OK
VV43	VEGFB	30.53	VV	OK
VV44	VEGFB	31.542	VV	OK
VV45	VEGFB	32.16	VV	OK
VV5	VEGFB	28.291	VV	OK
VV6	VEGFB	30.961	VV	OK
VV7	VEGFB	30.621	VV	OK
VV8	VEGFB	29.336	VV	OK
VV9	VEGFB	28.252	VV	OK
Control01	VEGFB	25.263	Control	OK
Control02	VEGFB	26.226	Control	OK
Control03	VEGFB	26.842	Control	OK
Control04	VEGFB	25.276	Control	OK
Control05	VEGFB	28.194	Control	OK
Control06	VEGFB	27.432	Control	OK
Control07	VEGFB	28.603	Control	OK
Control08	VEGFB	29.908	Control	OK
Control09	VEGFB	27.719	Control	OK
Control11	VEGFB	31.246	Control	OK
Control12	VEGFB	26.684	Control	OK
Control13	VEGFB	28.085	Control	OK
Control14	VEGFB	26.732	Control	OK
Control15	VEGFB	26.428	Control	OK
Control16	VEGFB	28.964	Control	OK
Control17	VEGFB	24.93	Control	OK
Control19	VEGFB	26.964	Control	OK
Control20	VEGFB	27.953	Control	OK
Control21	VEGFB	27.301	Control	OK
Control22	VEGFB	28.143	Control	OK
Control23	VEGFB	26.754	Control	OK
Control24	VEGFB	27.682	Control	OK
Control25	VEGFB	27.961	Control	OK
Control26	VEGFB	26.911	Control	OK
AAA1	VEGFC	32.725	AAA	OK
AAA10	VEGFC	32.886	AAA	OK
AAA12	VEGFC	31.011	AAA	OK
AAA13	VEGFC	35.868	AAA	Undetermined
AAA14	VEGFC	32.032	AAA	OK
AAA15	VEGFC	34.362	AAA	OK
AAA16	VEGFC	35.241	AAA	Undetermined
AAA17	VEGFC	35.972	AAA	Undetermined
AAA18	VEGFC	30.864	AAA	OK
AAA19	VEGFC	29.509	AAA	OK
AAA2	VEGFC	34.636	AAA	OK
AAA22	VEGFC	32.482	AAA	OK
AAA23	VEGFC	31.895	AAA	OK
AAA24	VEGFC	34.386	AAA	OK
AAA25	VEGFC	32.888	AAA	OK
AAA26	VEGFC	30.758	AAA	OK
AAA28	VEGFC	30.01	AAA	OK
AAA29	VEGFC	29.839	AAA	OK
AAA3	VEGFC	35.93	AAA	Undetermined
AAA30	VEGFC	31.987	AAA	OK
AAA31	VEGFC	30.3	AAA	OK
AAA32	VEGFC	31.329	AAA	OK
AAA33	VEGFC	30.627	AAA	OK
AAA34	VEGFC	32.508	AAA	OK
AAA35	VEGFC	30.774	AAA	OK
AAA36	VEGFC	28.72	AAA	OK
AAA37	VEGFC	29.192	AAA	OK
AAA38	VEGFC	28.878	AAA	OK
AAA39	VEGFC	32.293	AAA	OK
AAA4	VEGFC	34.729	AAA	OK
AAA40	VEGFC	32.024	AAA	OK
AAA41	VEGFC	30.535	AAA	OK
AAA42	VEGFC	32.572	AAA	OK
AAA43	VEGFC	32.749	AAA	OK
AAA44	VEGFC	33.071	AAA	OK
AAA5	VEGFC	33.508	AAA	OK
AAA6	VEGFC	32.8	AAA	OK
AAA7	VEGFC	34.536	AAA	OK
AAA8	VEGFC	34.871	AAA	OK
AAA9	VEGFC	33.375	AAA	OK
VV1	VEGFC	35.273	VV	Undetermined
VV10	VEGFC	35.918	VV	Undetermined
VV11	VEGFC	35.523	VV	Undetermined
VV12	VEGFC	34.804	VV	OK
VV14	VEGFC	33.468	VV	OK
VV15	VEGFC	34.777	VV	OK
VV16	VEGFC	34.215	VV	OK
VV17	VEGFC	35.949	VV	Undetermined
VV18	VEGFC	35.38	VV	Undetermined
VV19	VEGFC	34.448	VV	OK
VV2	VEGFC	35.146	VV	Undetermined
VV20	VEGFC	33.257	VV	OK
VV21	VEGFC	37.501	VV	Undetermined
VV22	VEGFC	29.948	VV	OK
VV23	VEGFC	34.08	VV	OK
VV24	VEGFC	31.704	VV	OK
VV25	VEGFC	28.431	VV	OK
VV26	VEGFC	28.641	VV	OK
VV27	VEGFC	29.332	VV	OK
